epochs,batch_size,lr,seed,precision,recall,f1-score,support,accuracy
2,4,1e-05,223,0.7537374854273498,0.750751312631523,0.7500924238728962,"[None, None, None, None, None]",0.7508866200967221
2,8,1e-05,223,0.7550413491449459,0.7541122383688027,0.7539373572488124,"[None, None, None, None, None]",0.7541644277270285
2,8,3e-05,223,0.7582451240247601,0.7563862728656598,0.7560216797822938,"[None, None, None, None, None]",0.7564750134336378
2,8,5e-05,223,0.7483408766294799,0.7458234871531892,0.745177978681073,"[None, None, None, None, None]",0.7458355722729716
2,8,0.0001,223,0.6343459013611845,0.6330160611121506,0.5699048016794638,"[None, None, None, None, None]",0.6327243417517463
2,16,1e-05,223,0.756120493186762,0.7539895797962158,0.7535488608281972,"[None, None, None, None, None]",0.7541106931757119
2,16,3e-05,223,0.7516555626738134,0.7490215033644484,0.7484291158692494,"[None, None, None, None, None]",0.7491133799032779
2,16,5e-05,223,0.7452733895249205,0.742635461494217,0.742125520354812,"[None, None, None, None, None]",0.7427727028479312
2,16,0.0001,223,0.7514277251552887,0.7468946707044668,0.7458945927720032,"[None, None, None, None, None]",0.747071466953251
2,8,1e-05,223,0.7550413491449459,0.7541122383688027,0.7539373572488124,"[None, None, None, None, None]",0.7541644277270285
2,8,3e-05,223,0.7582451240247601,0.7563862728656598,0.7560216797822938,"[None, None, None, None, None]",0.7564750134336378
2,8,5e-05,223,0.7483408766294799,0.7458234871531892,0.745177978681073,"[None, None, None, None, None]",0.7458355722729716
2,8,0.0001,223,0.6343459013611845,0.6330160611121506,0.5699048016794638,"[None, None, None, None, None]",0.6327243417517463
2,16,1e-05,223,0.756120493186762,0.7539895797962158,0.7535488608281972,"[None, None, None, None, None]",0.7541106931757119
2,16,3e-05,223,0.7516555626738134,0.7490215033644484,0.7484291158692494,"[None, None, None, None, None]",0.7491133799032779
2,16,5e-05,223,0.7452733895249205,0.742635461494217,0.742125520354812,"[None, None, None, None, None]",0.7427727028479312
2,16,0.0001,223,0.7514277251552887,0.7468946707044668,0.7458945927720032,"[None, None, None, None, None]",0.747071466953251
4,2,1e-05,223,0.7685749019770743,0.7623837226761283,0.7611852469979941,"[None, None, None, None, None]",0.7626544868350349
4,2,3e-05,223,0.7400375438700191,0.737755971809318,0.7369839150306394,"[None, None, None, None, None]",0.737667920472864
4,2,5e-05,223,0.69822139611011,0.6804132623715377,0.6480784378039248,"[None, None, None, None, None]",0.6800644814615799
4,2,0.0001,223,0.35142095616027896,0.5485360664712445,0.41411437843566434,"[None, None, None, None, None]",0.5478774852229984
4,4,1e-05,223,0.7555354603437495,0.7527395480343444,0.7521017823157066,"[None, None, None, None, None]",0.752821063944116
4,4,3e-05,223,0.7528743927577004,0.7492516325601917,0.7483641584515174,"[None, None, None, None, None]",0.7492745835572273
4,4,5e-05,223,0.7258227366472075,0.718656403539774,0.7154925425296128,"[None, None, None, None, None]",0.7187533584094572
4,4,0.0001,223,0.5072677646783519,0.5337885098253905,0.3997306243604738,"[None, None, None, None, None]",0.5332079527135949
4,8,1e-05,223,0.7575666619994534,0.7564681029962417,0.7562646249392209,"[None, None, None, None, None]",0.7565287479849543
4,8,1e-05,223,0.7575666619994534,0.7564681029962417,0.7562646249392209,"[None, None, None, None, None]",0.7565287479849543
4,8,3e-05,223,0.7578147640416724,0.7545746334680036,0.7538870059663243,"[None, None, None, None, None]",0.7546480386888769
4,8,5e-05,223,0.7344486992263372,0.7308364459967338,0.7296828788420994,"[None, None, None, None, None]",0.730736163353036
4,16,1e-05,223,0.7546783557382103,0.7525567151526072,0.7520961994617786,"[None, None, None, None, None]",0.7526598602901666
4,16,3e-05,223,0.7514225856422152,0.7475263854528319,0.7466627380531833,"[None, None, None, None, None]",0.7476625470177324
4,16,5e-05,223,0.7474112157667195,0.7441960088609847,0.7435047579228994,"[None, None, None, None, None]",0.7443310048361095
